;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;sig
Gpd1l;503.8167841;0.155645359;0.10742073;1.448932248;0.147356504;0.999862907;Not Sig
Gpd2;381.8150197;-0.144125313;0.121792543;-1.183367305;0.236663609;0.999862907;Not Sig
Gpha2;2.324568171;0.641846645;1.5013897;0.427501697;0.669013949;0.999862907;Not Sig
Gphn;280.4363425;-0.197805164;0.131578133;-1.503328556;0.13275434;0.999862907;Not Sig
Gpi;2116.597418;0.032879683;0.112940641;0.291123572;0.770956812;0.999862907;Not Sig
Gpkow;516.9703352;0.086259137;0.094130446;0.916378714;0.359468296;0.999862907;Not Sig
Gpld1;131.1956408;-0.082996781;0.184787098;-0.44914814;0.653324795;0.999862907;Not Sig
Gpm6a;37.55287757;-0.58236243;0.54895194;-1.060862322;0.288752474;0.999862907;Not Sig
Gpm6b;2299.203095;-0.007829464;0.170757475;-0.045851371;0.963428713;0.999862907;Not Sig
Gpn1;543.8202952;-0.039454817;0.106155776;-0.371669055;0.710139268;0.999862907;Not Sig
Gpn2;285.8492757;-0.048697325;0.114475219;-0.425396217;0.670547863;0.999862907;Not Sig
Gpn3;342.3995276;-0.050482031;0.13598981;-0.371219222;0.710474257;0.999862907;Not Sig
Gpr107;346.9401323;0.023182297;0.127645938;0.181614061;0.855885614;0.999862907;Not Sig
Gpr108;989.736097;-0.038491837;0.095861101;-0.401537604;0.688024358;0.999862907;Not Sig
Gpr132;15.77407056;-0.12185866;0.404155169;-0.301514541;0.763022163;0.999862907;Not Sig
Gpr135;4.886065556;-0.551156666;0.96322622;-0.57219857;0.567187456;0.999862907;Not Sig
Gpr137;74.49442906;-0.162444323;0.222548795;-0.729926771;0.465434947;0.999862907;Not Sig
Gpr137b;95.41204112;0.032946093;0.200152695;0.164604793;0.869255058;0.999862907;Not Sig
Gpr141;2.574030121;1.097741633;1.079636478;1.016769677;0.309263011;0.999862907;Not Sig
Gpr143;2.568029617;-0.146616467;1.159794212;-0.126415932;0.899402691;0.999862907;Not Sig
Gpr146;229.8544226;0.014781018;0.163854614;0.09020813;0.928121824;0.999862907;Not Sig
Gpr15;10.2973356;0.035413881;0.574918511;0.061598088;0.950882899;0.999862907;Not Sig
Gpr150;2.164973223;-0.337335549;1.09269901;-0.308717722;0.757536261;0.999862907;Not Sig
Gpr151;1.726817785;-1.428222406;1.461364468;-0.977321152;0.328410184;0.999862907;Not Sig
Gpr153;119.9163509;0.039579756;0.331319933;0.119460836;0.904910266;0.999862907;Not Sig
Gpr155;34.57151226;0.362940477;0.383941719;0.945300963;0.344505247;0.999862907;Not Sig
Gpr156;1.025194867;-0.374858439;1.931057821;-0.194120774;0.846081316;0.999862907;Not Sig
Gpr157;17.56074214;0.147309399;0.474173387;0.310665683;0.756054788;0.999862907;Not Sig
Gpr160;43.37986812;0.088691428;0.333279205;0.266117498;0.790148719;0.999862907;Not Sig
Gpr161;14.52907564;-0.41638622;0.445924475;-0.933759512;0.350427959;0.999862907;Not Sig
Gpr162;27.17388841;0.027540217;0.322692545;0.085345067;0.931987064;0.999862907;Not Sig
Gpr165;6.453851707;0.503848884;0.72520326;0.694769194;0.487199957;0.999862907;Not Sig
Gpr171;23.65569809;0.252862265;0.33864526;0.746687744;0.45525207;0.999862907;Not Sig
Gpr176;238.9909228;0.130456046;0.218451312;0.597185911;0.550383265;0.999862907;Not Sig
Gpr18;4.488250476;-0.477525809;0.74619607;-0.63994683;0.522207167;0.999862907;Not Sig
Gpr180;649.2812942;0.038709884;0.105767851;0.365989135;0.714373183;0.999862907;Not Sig
Gpr182;1458.528384;-0.2447696;0.159599319;-1.533650656;0.125115619;0.999862907;Not Sig
Gpr183;115.3288769;0.215424796;0.178547964;1.206537402;0.227610347;0.999862907;Not Sig
Gpr19;45.02569348;0.098292892;0.265799436;0.369800978;0.711530786;0.999862907;Not Sig
Gpr21;33.15519367;0.267308537;0.285710616;0.935591896;0.349483349;0.999862907;Not Sig
Gpr22;7.999838431;-0.413757853;0.62390158;-0.663178081;0.507216508;0.999862907;Not Sig
Gpr3;4.005539082;0.128271533;0.770557191;0.166465947;0.867790279;0.999862907;Not Sig
Gpr34;55.67561283;-0.118805213;0.243814511;-0.487277039;0.626062017;0.999862907;Not Sig
Gpr37;135.3895316;-0.115616297;0.170942169;-0.67634743;0.498820086;0.999862907;Not Sig
Gpr37l1;302.6963136;-0.297371558;0.181760085;-1.636066345;0.101825703;0.999862907;Not Sig
Gpr39;39.75680613;0.215038629;0.323453594;0.66482065;0.506165213;0.999862907;Not Sig
Gpr4;24.69285241;-0.288709151;0.383511331;-0.752804749;0.451567252;0.999862907;Not Sig
Gpr52;7.313722767;-0.459896049;0.678763837;-0.677549427;0.498057421;0.999862907;Not Sig
Gpr63;13.66143258;-0.021151825;0.426447891;-0.049600023;0.960441128;0.999862907;Not Sig
Gpr65;9.883415669;-0.364590037;0.522726412;-0.697477742;0.485503864;0.999862907;Not Sig
Gpr68;7.064950124;0.129741168;0.813168162;0.159550231;0.873235386;0.999862907;Not Sig
Gpr75;13.2994648;-0.31908386;0.475968157;-0.670389091;0.502609787;0.999862907;Not Sig
Gpr82;0.957948205;-2.103609445;1.737183364;-1.210931147;0.225921794;0.999862907;Not Sig
Gpr83;28.5790045;-0.092374111;0.389928624;-0.236900052;0.81273433;0.999862907;Not Sig
Gpr84;6.71724282;0.32184607;0.593777101;0.542031798;0.5877966;0.999862907;Not Sig
Gpr88;59.17136438;0.312631689;0.41013898;0.762257928;0.445906079;0.999862907;Not Sig
Gpr89b;482.0003147;-0.044419074;0.103959895;-0.427271248;0.669181772;0.999862907;Not Sig
Gprasp1;777.530257;-0.148536268;0.112993781;-1.314552592;0.188660312;0.999862907;Not Sig
Gprasp2;329.4506794;0.026230279;0.137231939;0.191138299;0.848417243;0.999862907;Not Sig
Gprc5a;130.3094213;0.080286385;0.265363257;0.302552757;0.762230722;0.999862907;Not Sig
Gprc5b;78.91954697;0.074356775;0.196140229;0.379100072;0.704613553;0.999862907;Not Sig
Gprc5c;24.71822176;-0.118318444;0.502721519;-0.235355837;0.81393256;0.999862907;Not Sig
Gprc5d;3.400953806;0.957572916;0.914580118;1.047008235;0.29509578;0.999862907;Not Sig
Gprin1;8.167533325;0.786340131;0.499160799;1.57532429;0.11518161;0.999862907;Not Sig
Gps1;2133.765345;-0.055697294;0.09854519;-0.565195457;0.571940826;0.999862907;Not Sig
Gps2;656.9745524;-0.005990312;0.105952727;-0.056537588;0.954913552;0.999862907;Not Sig
Gpsm1;918.5602083;0.004849099;0.09409721;0.05153287;0.95890091;0.999862907;Not Sig
Gpsm3;24.55997896;-0.184476622;0.307641801;-0.599647452;0.548741216;0.999862907;Not Sig
Gpt;151.1088174;-0.107242108;0.168435194;-0.636696558;0.524322516;0.999862907;Not Sig
Gpt2;128.0103448;0.074362332;0.191420171;0.388476991;0.697663078;0.999862907;Not Sig
Gpx3;7280.600409;0.07328683;0.16144084;0.453954713;0.649861422;0.999862907;Not Sig
Gpx4;2506.637556;-0.041381599;0.089105879;-0.464409305;0.642354525;0.999862907;Not Sig
Gpx7;1534.393547;-0.007949129;0.113543868;-0.070009319;0.944186242;0.999862907;Not Sig
Gpx8;1410.458517;0.037037571;0.117212564;0.315986354;0.752012866;0.999862907;Not Sig
Gramd1a;689.9245238;-0.062595173;0.100208555;-0.624648997;0.532201454;0.999862907;Not Sig
Gramd1b;22.71778172;-0.282114465;0.429893379;-0.656242871;0.511667869;0.999862907;Not Sig
Gramd1c;46.55957333;0.157580154;0.223747554;0.704276544;0.481260571;0.999862907;Not Sig
Gramd2a;2.6587079;-0.975313925;0.988504506;-0.986656023;0.323811296;0.999862907;Not Sig
Gramd2b;357.2770091;0.153009155;0.148774346;1.028464644;0.303731314;0.999862907;Not Sig
Gramd4;402.4559588;-0.14465469;0.154563447;-0.935891973;0.34932881;0.999862907;Not Sig
Grasp;61.21269057;0.123587908;0.205969643;0.600029723;0.548486427;0.999862907;Not Sig
Grb10;1652.839233;0.042848362;0.09837577;0.435558089;0.663157384;0.999862907;Not Sig
Grb2;540.3455119;0.0729689;0.130021946;0.561204489;0.574658143;0.999862907;Not Sig
Grb7;1.714443429;0.860328521;1.518360836;0.566616644;0.570974665;0.999862907;Not Sig
Grcc10;839.4285044;-0.127964328;0.114518034;-1.117416396;0.263816328;0.999862907;Not Sig
Greb1;20.59418406;0.03044481;0.397145874;0.076659012;0.938894812;0.999862907;Not Sig
Greb1l;17.61652205;0.13564319;0.387609863;0.349947727;0.726377928;0.999862907;Not Sig
Grem2;293.7813515;0.331091739;0.221448277;1.495119961;0.134883137;0.999862907;Not Sig
Grhl1;6.341596437;-0.093017148;0.638554091;-0.145668393;0.884183174;0.999862907;Not Sig
Grhl2;2.538533442;0.239659392;1.024501647;0.233927776;0.815041049;0.999862907;Not Sig
Grhl3;10.27705067;0.878479678;0.84996725;1.033545325;0.301348771;0.999862907;Not Sig
Grhpr;357.7151523;-0.143471293;0.121830487;-1.177630459;0.238943961;0.999862907;Not Sig
Gria1;13.26432008;-0.876211588;0.542536058;-1.615029222;0.106304367;0.999862907;Not Sig
Gria2;36.03760373;-0.340038465;0.392698541;-0.865902033;0.386543888;0.999862907;Not Sig
Gria3;988.1683184;0.133101353;0.13182281;1.009698949;0.312639546;0.999862907;Not Sig
Gria4;11.88080966;-0.044720458;0.621053363;-0.072007432;0.942595993;0.999862907;Not Sig
Grid2;11.9439627;-0.726851703;0.478400766;-1.519336413;0.128677839;0.999862907;Not Sig
Grid2ip;4.014163451;-0.998778066;0.884553147;-1.129132907;0.258841772;0.999862907;Not Sig
Grifin;1.043278808;-2.24084247;1.943135664;-1.153209481;0.248824413;0.999862907;Not Sig
Grik2;50.38473995;-0.3604138;0.271520703;-1.327389756;0.184379786;0.999862907;Not Sig
Grik3;1.747356108;-0.562682097;1.43894244;-0.391038641;0.695768674;0.999862907;Not Sig
Grik4;4.70061743;0.252320045;0.72155386;0.349689827;0.726571489;0.999862907;Not Sig
Grik5;106.6160324;-0.072581634;0.242624871;-0.299151666;0.764824327;0.999862907;Not Sig
Grin2b;1.282988114;0.13995282;1.640721195;0.085299575;0.93202323;0.999862907;Not Sig
Grin2d;17.16723187;-0.155165786;0.391268108;-0.396571514;0.691683462;0.999862907;Not Sig
Grin3a;16.96265405;0.389802081;0.431499867;0.903365471;0.366331959;0.999862907;Not Sig
Grin3b;55.63400411;0.28290641;0.235374492;1.201941667;0.229386129;0.999862907;Not Sig
Grina;3044.571998;-0.07266611;0.10066594;-0.721853991;0.470384251;0.999862907;Not Sig
Grip1;9.56183134;-0.397771093;0.491844843;-0.808732873;0.418668815;0.999862907;Not Sig
Gripap1;448.7931591;-0.062225951;0.126576434;-0.491607714;0.622996689;0.999862907;Not Sig
Grk2;280.5042137;-0.109981845;0.125966638;-0.873102962;0.38260696;0.999862907;Not Sig
Grk3;4.822835942;-0.229877174;0.753640999;-0.305022118;0.760349307;0.999862907;Not Sig
Grk4;146.5834588;0.316163551;0.233921642;1.351578881;0.17651007;0.999862907;Not Sig
Grk6;943.5216575;0.032144453;0.086951682;0.369681781;0.711619608;0.999862907;Not Sig
Grm2;50.97344696;0.36603437;0.26015564;1.406982258;0.15943265;0.999862907;Not Sig
Grm3;9.272127424;-0.755903296;0.608971268;-1.241279079;0.21450267;0.999862907;Not Sig
Grm6;20.66342757;-0.077773241;0.35087915;-0.221652499;0.82458441;0.999862907;Not Sig
Grm7;3.528727225;-0.856901313;0.919307121;-0.932116475;0.351276335;0.999862907;Not Sig
Grn;4025.544132;-0.013565821;0.128237357;-0.105786811;0.915751502;0.999862907;Not Sig
Grpel1;815.2264358;-0.017045611;0.099627919;-0.17109271;0.864150868;0.999862907;Not Sig
Grpel2;135.276267;-0.002309947;0.18102209;-0.012760583;0.989818804;0.999862907;Not Sig
Grpr;20.29875082;-0.184722753;0.344101495;-0.53682636;0.591387562;0.999862907;Not Sig
Grsf1;676.7900666;0.155365653;0.132312307;1.174234326;0.240301181;0.999862907;Not Sig
Grtp1;6.721169839;0.570017676;0.589701192;0.966621204;0.33373343;0.999862907;Not Sig
Grwd1;305.9712554;-0.088923882;0.153031022;-0.581084022;0.561183827;0.999862907;Not Sig
Gsap;167.4916922;0.049247091;0.173967926;0.283081442;0.777114407;0.999862907;Not Sig
Gsc;2.995149592;-0.751021638;0.944929737;-0.794790986;0.426735095;0.999862907;Not Sig
Gsdmd;397.0677065;-0.043031836;0.12181921;-0.353243436;0.723905947;0.999862907;Not Sig
Gse1;61.40093773;0.021315937;0.201188726;0.105949959;0.915622055;0.999862907;Not Sig
Gsg1;2.203198713;0.088309886;1.157954811;0.076263672;0.939209327;0.999862907;Not Sig
Gsk3a;72.22323865;0.046185526;0.263750703;0.175110534;0.860992781;0.999862907;Not Sig
Gskip;928.7321899;0.200289646;0.12312492;1.626718993;0.103796793;0.999862907;Not Sig
Gsn;19779.97205;-0.118201608;0.236092352;-0.500658352;0.616611588;0.999862907;Not Sig
Gspt1;1741.272635;0.047840109;0.084774449;0.564322268;0.572534829;0.999862907;Not Sig
Gspt2;36.05961777;-0.438014507;0.270387457;-1.619951282;0.105242742;0.999862907;Not Sig
Gsr;175.2586904;0.061705493;0.150142762;0.410978804;0.681088077;0.999862907;Not Sig
Gss;411.3266859;0.026491875;0.127979539;0.207000863;0.836009184;0.999862907;Not Sig
Gsta2;206.4052908;0.301498535;0.218190969;1.381810331;0.167029946;0.999862907;Not Sig
Gsta3;3.860519621;-0.753072059;0.783630314;-0.961004247;0.336550032;0.999862907;Not Sig
Gsta4;287.4074583;-0.139528359;0.217230549;-0.642305421;0.520674895;0.999862907;Not Sig
Gsta6;217.8279862;-0.018197533;0.151821619;-0.119861278;0.904593039;0.999862907;Not Sig
Gstcd;177.5057868;0.139274206;0.227881676;0.611168955;0.541087734;0.999862907;Not Sig
Gstm6;9.998442361;-0.776760297;0.575231871;-1.350342942;0.176906004;0.999862907;Not Sig
Gsto1;506.7841938;-0.02066375;0.121428871;-0.170171641;0.864875154;0.999862907;Not Sig
Gstp1;1296.697245;-0.099268945;0.113515593;-0.874496111;0.381848137;0.999862907;Not Sig
Gstt1;131.5530501;-0.222387454;0.168670419;-1.318473354;0.187345239;0.999862907;Not Sig
Gstt2;690.8154275;0.249146749;0.200657571;1.241651376;0.214365217;0.999862907;Not Sig
Gstt3;374.7360767;-0.027842546;0.531663683;-0.052368719;0.958234898;0.999862907;Not Sig
Gstz1;276.8271204;-0.140912024;0.127713795;-1.103342234;0.269878572;0.999862907;Not Sig
Gtdc1;105.5812239;0.09741192;0.176501754;0.551903408;0.581014533;0.999862907;Not Sig
Gtf2a1;459.6476458;0.081685481;0.135063999;0.604790929;0.545317921;0.999862907;Not Sig
Gtf2a1l;12.44756166;0.30594834;0.470304627;0.650532277;0.51534846;0.999862907;Not Sig
Gtf2a2;699.8370784;0.00785291;0.1325394;0.059249631;0.95275328;0.999862907;Not Sig
Gtf2b;378.6456767;0.007113207;0.138661199;0.051299186;0.959087117;0.999862907;Not Sig
Gtf2e1;215.0068305;-0.027441456;0.143530374;-0.191189191;0.848377372;0.999862907;Not Sig
Gtf2e2;381.6929926;0.149234984;0.108077175;1.380818695;0.167334714;0.999862907;Not Sig
Gtf2f2;204.9237;0.206835954;0.13558495;1.525508203;0.127132389;0.999862907;Not Sig
Gtf2h1;420.4159698;0.048966538;0.096468502;0.507590947;0.611740241;0.999862907;Not Sig
Gtf2h2;244.5356122;0.10560723;0.139969259;0.754503035;0.450547224;0.999862907;Not Sig
Gtf2h3;251.6675305;-0.126425935;0.131722737;-0.959788248;0.337161798;0.999862907;Not Sig
Gtf2h4;149.6182041;-0.080751073;0.143100329;-0.564296906;0.572552087;0.999862907;Not Sig
Gtf2h5;561.804682;-0.050790529;0.12786825;-0.397209853;0.691212717;0.999862907;Not Sig
Gtf2i;2324.596902;-0.030473331;0.081320632;-0.374730624;0.707860815;0.999862907;Not Sig
Gtf2ird1;245.2942782;-0.006469121;0.156073484;-0.041449197;0.966937793;0.999862907;Not Sig
Gtf2ird2;78.68341053;-0.172691014;0.183280025;-0.942224962;0.346077477;0.999862907;Not Sig
Gtf3a;347.7418682;-0.0356096;0.135983745;-0.261866593;0.793424296;0.999862907;Not Sig
Gtf3c1;1066.77584;-0.12518891;0.088776641;-1.410155974;0.158493633;0.999862907;Not Sig
Gtf3c2;1324.497956;0.032307354;0.081813118;0.394892107;0.692922515;0.999862907;Not Sig
Gtf3c3;680.937988;0.012164107;0.231041577;0.052648994;0.95801158;0.999862907;Not Sig
Gtf3c4;428.7220686;-0.024536768;0.117968158;-0.207994836;0.835232999;0.999862907;Not Sig
Gtf3c5;514.0279402;-0.090557021;0.093579761;-0.967698786;0.333194825;0.999862907;Not Sig
Gtf3c6;457.2147963;-0.064198798;0.091260455;-0.703467869;0.481764224;0.999862907;Not Sig
Gtpbp1;99.33880559;-0.211405135;0.195490495;-1.081408767;0.279515324;0.999862907;Not Sig
Gtpbp10;123.1379326;-0.001802977;0.173112612;-0.010415051;0.991690142;0.999862907;Not Sig
Gtpbp2;443.9257455;-0.120665786;0.097982085;-1.23150866;0.21813268;0.999862907;Not Sig
Gtpbp3;157.9283982;0.004652337;0.135156919;0.034421746;0.972540843;0.999862907;Not Sig
Gtpbp4;304.9468437;0.151136477;0.123852273;1.220296352;0.222352552;0.999862907;Not Sig
Gtpbp6;121.304906;0.065985768;0.151309094;0.436099156;0.662764789;0.999862907;Not Sig
Gtpbp8;74.76458127;0.041190521;0.218570327;0.188454313;0.850520527;0.999862907;Not Sig
Gtsf1;1.976268183;-1.132160812;1.160076061;-0.975936708;0.32909583;0.999862907;Not Sig
Guca1b;5.590197053;0.325678179;0.754598004;0.431591626;0.666038246;0.999862907;Not Sig
Guca2a;5.01777566;0.199219113;0.691002553;0.288304453;0.773113699;0.999862907;Not Sig
Gucd1;329.4934409;-0.053734767;0.13373145;-0.401810992;0.687823132;0.999862907;Not Sig
Gucy1b2;1.690085126;2.062083727;1.290566588;1.597812732;0.11008466;0.999862907;Not Sig
Gucy2c;7.823130225;-0.91789116;0.62934912;-1.458476911;0.144709135;0.999862907;Not Sig
Gucy2d;14.60911152;0.217737585;0.481869944;0.451859652;0.651370093;0.999862907;Not Sig
Guf1;266.0134261;0.211379367;0.137969542;1.532072692;0.125504498;0.999862907;Not Sig
Guk1;1763.093283;-0.00338761;0.078310495;-0.043258702;0.965495311;0.999862907;Not Sig
Gulo;2.404022093;0.366856314;0.981270815;0.373858376;0.708509685;0.999862907;Not Sig
Gulp1;230.9863954;0.049777034;0.144830612;0.343691388;0.731078388;0.999862907;Not Sig
Gusb;592.6164919;0.026722207;0.108516252;0.24625074;0.80548814;0.999862907;Not Sig
Gvin1;10.13919284;-0.287068385;0.482524641;-0.594930001;0.551890262;0.999862907;Not Sig
Gxylt2;87.26559295;-0.021047679;0.252279472;-0.083430012;0.933509625;0.999862907;Not Sig
Gyg1;545.5717442;0.182723835;0.145876322;1.252594201;0.210353426;0.999862907;Not Sig
Gys1;179.4978091;0.049820746;0.231292035;0.215401911;0.82945398;0.999862907;Not Sig
Gzf1;297.0086902;0.14737685;0.148676441;0.991258933;0.32155916;0.999862907;Not Sig
Gzmm;4.163913305;-1.176007853;0.929260783;-1.265530489;0.205681226;0.999862907;Not Sig
H1f10;44.18169457;0.072764307;0.332909352;0.218570932;0.826984298;0.999862907;Not Sig
H1f2;542.2134938;0.053172936;0.228124905;0.23308694;0.815693896;0.999862907;Not Sig
H1f4;17.34119651;0.084216809;0.489326269;0.17210768;0.863352875;0.999862907;Not Sig
H1f5;3.665728775;0.351552147;0.857400636;0.410020862;0.681790644;0.999862907;Not Sig
H1f6;1.949163603;1.188546058;1.141402688;1.041303013;0.297734939;0.999862907;Not Sig
H1f8;1.306599296;-2.578400126;1.898531017;-1.358102714;0.174431094;0.999862907;Not Sig
H2ac20;3.072104069;-0.583354161;1.149992079;-0.507267982;0.611966801;0.999862907;Not Sig
H2aj;239.2538004;-0.134475376;0.141926926;-0.947497275;0.343385444;0.999862907;Not Sig
H2ax;397.3935355;-0.029354393;0.203634475;-0.144152376;0.885380147;0.999862907;Not Sig
H2az1;651.8638762;-0.182968333;0.207651132;-0.881133326;0.378245662;0.999862907;Not Sig
H2az2;2593.575546;-0.014542383;0.094764372;-0.153458334;0.878036846;0.999862907;Not Sig
H2bc12;13.39975957;0.269901812;0.817600284;0.330114626;0.741313352;0.999862907;Not Sig
H3c1;1.569434238;-0.514312176;1.206464841;-0.426296862;0.669891544;0.999862907;Not Sig
H3c1.1;1.055875957;-0.386115715;1.726534626;-0.223636242;0.823040361;0.999862907;Not Sig
H3f3c;2807.763227;0.097648115;0.147232058;0.663225904;0.507185883;0.999862907;Not Sig
H6pd;117.1913505;-0.092176268;0.214258075;-0.430211407;0.667041865;0.999862907;Not Sig
Haao;1.591696744;-2.853110754;1.771675384;-1.610402662;0.10730998;0.999862907;Not Sig
Habp4;96.93665872;-0.10667372;0.293324971;-0.363670776;0.716103868;0.999862907;Not Sig
Hacd1;104.9775113;0.853624011;0.592568867;1.440548195;0.149712365;0.999862907;Not Sig
Hacd2;286.1880032;0.057653144;0.143483075;0.401811462;0.687822786;0.999862907;Not Sig
Hacd3;666.4895929;-0.022956115;0.087040177;-0.263741594;0.791979043;0.999862907;Not Sig
Hacd4;145.3246646;0.122323686;0.191862861;0.637557915;0.523761498;0.999862907;Not Sig
Hace1;286.3185339;0.1239857;0.147531675;0.840400546;0.400683843;0.999862907;Not Sig
Hacl1;382.7642633;-0.003281293;0.099589125;-0.03294831;0.973715808;0.999862907;Not Sig
Hadh;671.9700352;0.099761445;0.163234584;0.611153856;0.541097729;0.999862907;Not Sig
Hadha;1416.730788;0.060680332;0.105228947;0.576650569;0.564175531;0.999862907;Not Sig
Hagh;287.0423801;-0.125332881;0.134953961;-0.928708423;0.353040214;0.999862907;Not Sig
Haghl;68.72439891;-0.305492866;0.239489864;-1.275598311;0.202097551;0.999862907;Not Sig
Hamp;156.8698262;-0.122610266;0.565948602;-0.216645585;0.828484557;0.999862907;Not Sig
Hand2;167.3296598;-0.243153436;0.256990061;-0.94615891;0.34406754;0.999862907;Not Sig
Hap1;11.01245063;0.444412356;0.449471627;0.98874396;0.322788429;0.999862907;Not Sig
Hapln1;1410.220589;0.027084023;0.134117356;0.201942718;0.839961506;0.999862907;Not Sig
Hapln3;100.3382216;-0.264621226;0.168172194;-1.573513544;0.115599955;0.999862907;Not Sig
Harbi1;203.4945166;0.085549308;0.160099326;0.534351456;0.593098398;0.999862907;Not Sig
Hars1;1293.405115;-0.109860835;0.087070879;-1.261740283;0.207042257;0.999862907;Not Sig
Hars2;439.9155539;0.021692107;0.092666413;0.234088129;0.814916561;0.999862907;Not Sig
Has2;499.9575116;0.023868242;0.16961892;0.140716859;0.888093626;0.999862907;Not Sig
Has3;125.1258477;-0.030972593;0.223388663;-0.138648901;0.889727599;0.999862907;Not Sig
Haspin;59.51425736;0.065030566;0.258805922;0.251271553;0.801604167;0.999862907;Not Sig
Hat1;397.5807472;0.043636912;0.127133054;0.343238133;0.73141932;0.999862907;Not Sig
Haus1;200.247301;0.035661884;0.144302991;0.247131984;0.804806081;0.999862907;Not Sig
Haus3;81.24148644;0.078364023;0.207221859;0.378164848;0.705308137;0.999862907;Not Sig
Haus4;214.5981752;0.127642145;0.238738238;0.534653125;0.592889741;0.999862907;Not Sig
Haus5;804.0993248;-0.11514902;0.097547723;-1.180437804;0.237826134;0.999862907;Not Sig
Haus7;1266.94645;0.020101381;0.085934744;0.233914476;0.815051374;0.999862907;Not Sig
Havcr1;87.00269292;0.452409173;0.387960361;1.166122156;0.24356506;0.999862907;Not Sig
Havcr2;10.90676243;0.242111902;0.523036109;0.462897106;0.643438122;0.999862907;Not Sig
Hba.a1;24.76028551;0.203057054;0.766212268;0.265014099;0.7909986;0.999862907;Not Sig
Hba.a2;846.0016531;0.624390162;0.748342768;0.834363862;0.404075975;0.999862907;Not Sig
Hba1;1084.076517;0.520527463;0.72492579;0.718042412;0.472731136;0.999862907;Not Sig
Hbb;807.5528698;0.534557583;0.808251262;0.6613755;0.508371534;0.999862907;Not Sig
Hbb.b1;206.1107061;0.469638434;0.681462312;0.68916274;0.490720861;0.999862907;Not Sig
Hbp1;1958.824683;0.120147859;0.120958877;0.993295087;0.320566171;0.999862907;Not Sig
Hccs;199.9488315;0.20046583;0.184006161;1.089451731;0.27595473;0.999862907;Not Sig
Hcfc1r1;369.4584972;-0.060565369;0.13092175;-0.462607388;0.643645812;0.999862907;Not Sig
Hcfc2;209.7660806;0.165436969;0.134882597;1.226525675;0.220000919;0.999862907;Not Sig
Hck;119.0221495;0.093510387;0.194146448;0.481648714;0.630055514;0.999862907;Not Sig
Hcls1;93.57604814;-0.200715965;0.189923181;-1.056827101;0.290590503;0.999862907;Not Sig
Hcn1;2.391107498;0.363833609;0.922542763;0.394381294;0.693299552;0.999862907;Not Sig
Hcn3;152.7490687;0.157141714;0.234808939;0.669232245;0.50334734;0.999862907;Not Sig
Hcn4;68.45824657;-0.269147261;0.347743267;-0.773982667;0.438941041;0.999862907;Not Sig
Hcst;10.65847535;-0.417939285;0.49083335;-0.851489178;0.394497673;0.999862907;Not Sig
Hdac1;1777.844209;-0.057885124;0.114343055;-0.506240837;0.61268759;0.999862907;Not Sig
Hdac10;293.4114816;-0.113124069;0.133534219;-0.847154161;0.3969092;0.999862907;Not Sig
Hdac11;46.07829619;0.187213844;0.33315281;0.561945865;0.574152903;0.999862907;Not Sig
Hdac1l;2.096677196;-0.370777808;1.553591019;-0.238658568;0.811370346;0.999862907;Not Sig
Hdac2;896.5677727;0.003364862;0.122273403;0.027519168;0.978045652;0.999862907;Not Sig
Hdac3;961.7999603;0.006441311;0.10411507;0.06186723;0.950668564;0.999862907;Not Sig
Hdac4;244.3628761;0.187127187;0.119035992;1.572021901;0.115945472;0.999862907;Not Sig
Hdac5;775.4066615;-0.008104695;0.11934984;-0.067907048;0.945859628;0.999862907;Not Sig
Hdac6;408.3442526;-0.031954142;0.132532038;-0.241105041;0.809473706;0.999862907;Not Sig
Hdac7;518.9268931;-0.056619818;0.104349553;-0.542597606;0.587406887;0.999862907;Not Sig
Hdac8;199.7903255;-0.234956941;0.155300566;-1.512917479;0.130300621;0.999862907;Not Sig
Hdac9;42.86631108;0.255471145;0.276366542;0.924392452;0.355282023;0.999862907;Not Sig
Hdc;9.401176617;0.233515828;0.601584079;0.388168231;0.697891541;0.999862907;Not Sig
Hddc2;251.2529077;-0.098553675;0.140835725;-0.699777524;0.484066253;0.999862907;Not Sig
Hddc3;379.0131807;0.126684152;0.148485278;0.853176518;0.393561423;0.999862907;Not Sig
Hdgf;1160.743316;0.052682519;0.087207039;0.604108566;0.545771465;0.999862907;Not Sig
Hdhd2;518.5731043;-0.090140128;0.120702164;-0.746797942;0.455185538;0.999862907;Not Sig
Hdhd3;130.1900679;-0.225329407;0.161645774;-1.393970292;0.163326576;0.999862907;Not Sig
Hdhd5;269.3768248;-0.044721455;0.109447709;-0.408610241;0.682825714;0.999862907;Not Sig
Hdlbp;5940.837485;0.06038992;0.060461769;0.998811671;0.317885931;0.999862907;Not Sig
Heatr1;249.6527699;0.055959748;0.160852014;0.347895852;0.7279184;0.999862907;Not Sig
Heatr3;348.605239;0.154348968;0.112297818;1.374460981;0.169298616;0.999862907;Not Sig
Heatr4;29.08837617;-0.231241672;0.304768509;-0.758745295;0.448004936;0.999862907;Not Sig
Heatr5a;420.5653919;0.077952819;0.115077821;0.677392211;0.498157139;0.999862907;Not Sig
Heatr5b;324.4064825;-0.037718495;0.113451059;-0.332464896;0.739538243;0.999862907;Not Sig
