;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;sig
Fam181b;106.0546044;-0.416915635;0.19841377;-2.10124345;0.035619601;0.956677396;Pval<0.1
Fam184b;39.41140115;-1.085898704;0.4602041;-2.35960241;0.018294531;0.842843026;Pval<0.1
Fam189b;409.037233;-0.175146738;0.094365089;-1.856054391;0.063445806;0.999862907;Pval<0.1
Fam216b;2.297231234;2.706704411;1.502681568;1.801249491;0.071663565;0.999862907;Pval<0.1
Fam217b;216.4519713;0.2600825;0.140342429;1.853199365;0.063853789;0.999862907;Pval<0.1
Fam78a;11.07391314;1.625284308;0.512148537;3.173462758;0.001506322;0.274483214;Pval<0.1
Fam91a1;681.1737545;0.253685267;0.089333191;2.839764994;0.004514678;0.476281557;Pval<0.1
Fancb;56.2109045;-0.492424843;0.264947844;-1.858572748;0.063087723;0.999862907;Pval<0.1
Fancf;88.55500213;-0.423605706;0.248776092;-1.702758906;0.088613196;0.999862907;Pval<0.1
Farp2;241.9042897;0.308769666;0.14910883;2.070767143;0.038380562;0.973156856;Pval<0.1
Faslg;2.334804707;-3.491510954;1.419942117;-2.458910762;0.013935925;0.764335339;Pval<0.1
Fasn;1627.049512;-0.223399247;0.108420395;-2.060490997;0.039351626;0.979149875;Pval<0.1
Fastkd1;201.2160423;0.280399151;0.164654461;1.702955084;0.088576474;0.999862907;Pval<0.1
Fat3;30.67736322;-0.847477511;0.383568353;-2.209456292;0.027142919;0.925090118;Pval<0.1
Fbxl2;8.300011475;0.943971713;0.55262192;1.708169144;0.087604962;0.999862907;Pval<0.1
Fbxl3;1517.601436;0.251983115;0.11295849;2.230758525;0.025697129;0.919371398;Pval<0.1
Fbxo10;95.12424545;-0.396337126;0.199700796;-1.984654718;0.0471829;0.999862907;Pval<0.1
Fbxo30;267.0808385;0.311106119;0.140953471;2.207154723;0.027303252;0.925090118;Pval<0.1
Fbxo33;159.0875003;0.300794371;0.167770767;1.792889047;0.072990667;0.999862907;Pval<0.1
Fcna;319.4554098;-0.768102398;0.232652376;-3.301502485;0.000961685;0.201394028;Pval<0.1
Fez2;593.3553003;0.172676935;0.101877754;1.694942505;0.090086328;0.999862907;Pval<0.1
Fgd1;103.4164019;-0.327593076;0.179483846;-1.825195319;0.06797156;0.999862907;Pval<0.1
Fgf13;29.99676352;0.566164397;0.332497378;1.702763494;0.088612337;0.999862907;Pval<0.1
Fgf9;75.32918806;-0.484758213;0.21291637;-2.27675407;0.022800916;0.896918133;Pval<0.1
Fgfr2;425.1046966;0.385379775;0.211950054;1.818257496;0.069024786;0.999862907;Pval<0.1
Fgfr4;38.41911495;-0.583191927;0.262153779;-2.224617664;0.026106916;0.919371398;Pval<0.1
Fhl1;4507.578075;0.142316918;0.072016626;1.97616754;0.048135805;0.999862907;Pval<0.1
Fhl3;691.910723;-0.23857812;0.10206114;-2.337599995;0.019408008;0.844925863;Pval<0.1
Fignl1;43.53044979;0.642784618;0.379747937;1.69266125;0.090519965;0.999862907;Pval<0.1
Flrt3;396.7766281;-0.546871758;0.211832221;-2.581626889;0.009833583;0.679679849;Pval<0.1
Fmc1;463.7769963;0.2916604;0.130308112;2.238236722;0.025205622;0.916351071;Pval<0.1
Fmr1;408.1568064;0.261697889;0.123733978;2.115004245;0.034429586;0.949312254;Pval<0.1
Fndc7;61.39107283;0.590185032;0.266616056;2.213613992;0.026855344;0.923547381;Pval<0.1
Focad;539.1169734;0.187767682;0.103223767;1.819035358;0.068906036;0.999862907;Pval<0.1
Fosl1;17.54753201;1.76558603;0.471260423;3.746518791;0.000179306;0.066206225;Pval<0.1
Foxred2;262.7315358;-0.291645331;0.151140454;-1.929631168;0.053652554;0.999862907;Pval<0.1
Fst;556.199548;0.366879981;0.149609658;2.45224798;0.014196679;0.764335339;Pval<0.1
Fstl3;310.0511185;-0.379988784;0.212500755;-1.788176158;0.073747592;0.999862907;Pval<0.1
Fus;840.9219969;-0.273304533;0.140821211;-1.94079095;0.052283639;0.999862907;Pval<0.1
Fut7;10.25645196;-1.259142854;0.572686745;-2.198658978;0.02790218;0.925290456;Pval<0.1
Fuz;148.282635;-0.442863519;0.139310947;-3.178957071;0.00147806;0.272877066;Pval<0.1
Gabarapl1;810.9553596;-0.257792704;0.135863585;-1.897437811;0.057770179;0.999862907;Pval<0.1
Gabbr2;34.71740275;0.777623543;0.285449695;2.724205196;0.006445645;0.556405287;Pval<0.1
Gabrb1;13.51562204;-0.954045279;0.535891441;-1.780295795;0.075027565;0.999862907;Pval<0.1
Gad2;16.34191049;-0.938465807;0.468496153;-2.003145174;0.045161708;0.983784132;Pval<0.1
Gadd45gip1;525.0908676;-0.188190334;0.112208383;-1.677150397;0.093513076;0.999862907;Pval<0.1
Galnt1;381.522881;0.184198371;0.107115241;1.719628037;0.085500076;0.999862907;Pval<0.1
Galnt6;248.7878313;-0.407337631;0.163394693;-2.492967335;0.01266805;0.745421633;Pval<0.1
Gas2;21.99334743;-0.849697622;0.489500094;-1.735847719;0.082590764;0.999862907;Pval<0.1
Gask1b;5886.778182;0.28030777;0.153173108;1.830006408;0.067248981;0.999862907;Pval<0.1
Gata5;186.931789;0.289942704;0.176072258;1.646725654;0.099614449;0.999862907;Pval<0.1
Gatc;1196.712454;0.179014342;0.100312525;1.784566204;0.074331707;0.999862907;Pval<0.1
Gchfr;216.051589;-0.27927624;0.147918353;-1.888043199;0.059020151;0.999862907;Pval<0.1
Gcnt2;57.9513249;0.433955427;0.23394968;1.854909256;0.063609186;0.999862907;Pval<0.1
Gcsam;3.73183023;-1.705396961;0.980459038;-1.739386241;0.081966847;0.999862907;Pval<0.1
Gdf11;169.0597388;0.473190144;0.174898647;2.705510602;0.006819947;0.56958737;Pval<0.1
Gemin4;208.0305188;-0.213711424;0.129449964;-1.650919145;0.098755086;0.999862907;Pval<0.1
Get1;508.374442;0.267389615;0.148229032;1.803895032;0.071247764;0.999862907;Pval<0.1
Get3;650.5841353;-0.169209811;0.090884671;-1.861808039;0.062630153;0.999862907;Pval<0.1
Gfra2;678.5396631;0.64580327;0.234048014;2.759276857;0.005792943;0.540811489;Pval<0.1
Gfra3;134.6252471;-0.384894559;0.222797852;-1.727550586;0.084068828;0.999862907;Pval<0.1
Gimap1;232.5768022;-0.283087433;0.16461656;-1.71967774;0.085491036;0.999862907;Pval<0.1
Gipc2;41.79266964;0.484526612;0.280048528;1.730152325;0.083603064;0.999862907;Pval<0.1
Gja4;556.3319891;-0.388701092;0.171585103;-2.265354545;0.023490931;0.896926021;Pval<0.1
Glb1l3;134.9607335;-0.512841197;0.270643426;-1.894896191;0.058106156;0.999862907;Pval<0.1
